material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorbate,adsorption_site_index,adsorbate_structure_file,parent_slab_file,notes
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,N2O,2,data\substituted_adsorbates\MAT_003_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_003_110_slab.cif,multiple adsorption site structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,O,0,data\substituted_adsorbates\MAT_004_O_site0_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,multiple adsorption site structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,O,1,data\substituted_adsorbates\MAT_004_O_site1_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,multiple adsorption site structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,O,2,data\substituted_adsorbates\MAT_004_O_site2_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,multiple adsorption site structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,O2,0,data\substituted_adsorbates\MAT_004_O2_site0_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,multiple adsorption site structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,O2,1,data\substituted_adsorbates\MAT_004_O2_site1_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,multiple adsorption site structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,O2,2,data\substituted_adsorbates\MAT_004_O2_site2_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,multiple adsorption site structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,N2O,0,data\substituted_adsorbates\MAT_004_N2O_site0_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,multiple adsorption site structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,N2O,1,data\substituted_adsorbates\MAT_004_N2O_site1_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,multiple adsorption site structure
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,N2O,2,data\substituted_adsorbates\MAT_004_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_004_110_slab.cif,multiple adsorption site structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,O,0,data\substituted_adsorbates\MAT_005_O_site0_adsorbed.cif,data\substituted_slabs\MAT_005_110_slab.cif,multiple adsorption site structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,O,1,data\substituted_adsorbates\MAT_005_O_site1_adsorbed.cif,data\substituted_slabs\MAT_005_110_slab.cif,multiple adsorption site structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,O,2,data\substituted_adsorbates\MAT_005_O_site2_adsorbed.cif,data\substituted_slabs\MAT_005_110_slab.cif,multiple adsorption site structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,O2,0,data\substituted_adsorbates\MAT_005_O2_site0_adsorbed.cif,data\substituted_slabs\MAT_005_110_slab.cif,multiple adsorption site structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,O2,1,data\substituted_adsorbates\MAT_005_O2_site1_adsorbed.cif,data\substituted_slabs\MAT_005_110_slab.cif,multiple adsorption site structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,O2,2,data\substituted_adsorbates\MAT_005_O2_site2_adsorbed.cif,data\substituted_slabs\MAT_005_110_slab.cif,multiple adsorption site structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,N2O,0,data\substituted_adsorbates\MAT_005_N2O_site0_adsorbed.cif,data\substituted_slabs\MAT_005_110_slab.cif,multiple adsorption site structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,N2O,1,data\substituted_adsorbates\MAT_005_N2O_site1_adsorbed.cif,data\substituted_slabs\MAT_005_110_slab.cif,multiple adsorption site structure
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,N2O,2,data\substituted_adsorbates\MAT_005_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_005_110_slab.cif,multiple adsorption site structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,O,0,data\substituted_adsorbates\MAT_007_O_site0_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,multiple adsorption site structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,O,1,data\substituted_adsorbates\MAT_007_O_site1_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,multiple adsorption site structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,O,2,data\substituted_adsorbates\MAT_007_O_site2_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,multiple adsorption site structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,O2,0,data\substituted_adsorbates\MAT_007_O2_site0_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,multiple adsorption site structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,O2,1,data\substituted_adsorbates\MAT_007_O2_site1_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,multiple adsorption site structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,O2,2,data\substituted_adsorbates\MAT_007_O2_site2_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,multiple adsorption site structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,N2O,0,data\substituted_adsorbates\MAT_007_N2O_site0_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,multiple adsorption site structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,N2O,1,data\substituted_adsorbates\MAT_007_N2O_site1_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,multiple adsorption site structure
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,N2O,2,data\substituted_adsorbates\MAT_007_N2O_site2_adsorbed.cif,data\substituted_slabs\MAT_007_110_slab.cif,multiple adsorption site structure
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,O,0,data\substituted_adsorbates\MAT_008_O_site0_adsorbed.cif,data\substituted_slabs\MAT_008_110_slab.cif,multiple adsorption site structure
