material_id,M_element,Ru_fraction,M_fraction,nominal_formula,adsorption_site_index,h2o_structure_file,predicted_energy_eV,backend,status
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,1,data\h2o_adsorbates\MAT_015_H2O_site1.cif,-537.1692066177582,uma-s-1p2,success
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,2,data\h2o_adsorbates\MAT_015_H2O_site2.cif,-537.1732889235033,uma-s-1p2,success
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,0,data\h2o_adsorbates\MAT_017_H2O_site0.cif,-691.9461121008133,uma-s-1p2,success
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,1,data\h2o_adsorbates\MAT_017_H2O_site1.cif,-691.7732230187098,uma-s-1p2,success
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,2,data\h2o_adsorbates\MAT_017_H2O_site2.cif,-691.1847874384936,uma-s-1p2,success
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,0,data\h2o_adsorbates\MAT_018_H2O_site0.cif,-683.8460828772916,uma-s-1p2,success
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,1,data\h2o_adsorbates\MAT_018_H2O_site1.cif,-683.6605580493153,uma-s-1p2,success
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,2,data\h2o_adsorbates\MAT_018_H2O_site2.cif,-682.9544978842956,uma-s-1p2,success
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,0,data\h2o_adsorbates\MAT_019_H2O_site0.cif,-667.0799969900139,uma-s-1p2,success
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,1,data\h2o_adsorbates\MAT_019_H2O_site1.cif,-667.1452381469405,uma-s-1p2,success
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,2,data\h2o_adsorbates\MAT_019_H2O_site2.cif,-666.1741016698501,uma-s-1p2,success
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,0,data\h2o_adsorbates\MAT_020_H2O_site0.cif,-658.6774587866142,uma-s-1p2,success
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,1,data\h2o_adsorbates\MAT_020_H2O_site1.cif,-658.7319861062922,uma-s-1p2,success
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,2,data\h2o_adsorbates\MAT_020_H2O_site2.cif,-658.6254092346339,uma-s-1p2,success
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,0,data\h2o_adsorbates\MAT_022_H2O_site0.cif,-694.8573109010445,uma-s-1p2,success
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,1,data\h2o_adsorbates\MAT_022_H2O_site1.cif,-694.9014066136924,uma-s-1p2,success
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,2,data\h2o_adsorbates\MAT_022_H2O_site2.cif,-694.4003272116045,uma-s-1p2,success
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,0,data\h2o_adsorbates\MAT_023_H2O_site0.cif,-689.0876283598228,uma-s-1p2,success
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,1,data\h2o_adsorbates\MAT_023_H2O_site1.cif,-689.1099579101863,uma-s-1p2,success
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,2,data\h2o_adsorbates\MAT_023_H2O_site2.cif,-688.58968036159,uma-s-1p2,success
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,0,data\h2o_adsorbates\MAT_024_H2O_site0.cif,-681.7774138049688,uma-s-1p2,success
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,1,data\h2o_adsorbates\MAT_024_H2O_site1.cif,-681.7898583261016,uma-s-1p2,success
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,2,data\h2o_adsorbates\MAT_024_H2O_site2.cif,-681.2961674355233,uma-s-1p2,success
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,0,data\h2o_adsorbates\MAT_025_H2O_site0.cif,-679.6733617348874,uma-s-1p2,success
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,1,data\h2o_adsorbates\MAT_025_H2O_site1.cif,-679.6792667848559,uma-s-1p2,success
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,2,data\h2o_adsorbates\MAT_025_H2O_site2.cif,-678.7785048415952,uma-s-1p2,success
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,0,data\h2o_adsorbates\MAT_027_H2O_site0.cif,-578.73895168621,uma-s-1p2,success
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,1,data\h2o_adsorbates\MAT_027_H2O_site1.cif,-580.5588369922677,uma-s-1p2,success
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,2,data\h2o_adsorbates\MAT_027_H2O_site2.cif,-579.8821011361342,uma-s-1p2,success
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,0,data\h2o_adsorbates\MAT_028_H2O_site0.cif,-513.5561494671722,uma-s-1p2,success
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,1,data\h2o_adsorbates\MAT_028_H2O_site1.cif,-515.3183295158436,uma-s-1p2,success
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,2,data\h2o_adsorbates\MAT_028_H2O_site2.cif,-514.5086284488368,uma-s-1p2,success
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,0,data\h2o_adsorbates\MAT_029_H2O_site0.cif,-390.5978620646975,uma-s-1p2,success
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,1,data\h2o_adsorbates\MAT_029_H2O_site1.cif,-390.4804557085671,uma-s-1p2,success
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,2,data\h2o_adsorbates\MAT_029_H2O_site2.cif,-391.47784119327775,uma-s-1p2,success
