material_id,M_element,Ru_fraction,M_fraction,nominal_formula,vacancy_site_index,vacancy_structure_file,predicted_energy_eV,backend,status
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,1,data\vacancies\MAT_014_vacancy_site1.cif,-271.0632374836249,uma-s-1p2,success
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,2,data\vacancies\MAT_014_vacancy_site2.cif,-269.58384115045317,uma-s-1p2,success
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,0,data\vacancies\MAT_015_vacancy_site0.cif,-254.8355243265961,uma-s-1p2,success
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,1,data\vacancies\MAT_015_vacancy_site1.cif,-256.5967207502002,uma-s-1p2,success
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,2,data\vacancies\MAT_015_vacancy_site2.cif,-254.54269269838198,uma-s-1p2,success
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,0,data\vacancies\MAT_017_vacancy_site0.cif,-329.5358202669582,uma-s-1p2,success
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,1,data\vacancies\MAT_017_vacancy_site1.cif,-330.76949110190066,uma-s-1p2,success
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,2,data\vacancies\MAT_017_vacancy_site2.cif,-329.8486278089409,uma-s-1p2,success
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,0,data\vacancies\MAT_018_vacancy_site0.cif,-325.44443284786536,uma-s-1p2,success
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,1,data\vacancies\MAT_018_vacancy_site1.cif,-326.74087116649594,uma-s-1p2,success
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,2,data\vacancies\MAT_018_vacancy_site2.cif,-325.7467417266759,uma-s-1p2,success
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,0,data\vacancies\MAT_019_vacancy_site0.cif,-317.2189908658242,uma-s-1p2,success
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,1,data\vacancies\MAT_019_vacancy_site1.cif,-318.7349426501796,uma-s-1p2,success
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,2,data\vacancies\MAT_019_vacancy_site2.cif,-317.0258419449575,uma-s-1p2,success
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,0,data\vacancies\MAT_020_vacancy_site0.cif,-312.9890770029728,uma-s-1p2,success
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,1,data\vacancies\MAT_020_vacancy_site1.cif,-313.4046167019839,uma-s-1p2,success
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,2,data\vacancies\MAT_020_vacancy_site2.cif,-312.7141275576,uma-s-1p2,success
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,0,data\vacancies\MAT_022_vacancy_site0.cif,-331.90905959582597,uma-s-1p2,success
