material_id,M_element,Ru_fraction,M_fraction,nominal_formula,structure_file,parent_lattice,notes
MAT_113,Nb,0.6,0.4,Ru0.60Nb0.40Ox,data\substituted_structures\MAT_113_Ru0.60Nb0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_114,Nb,0.4,0.6,Ru0.40Nb0.60Ox,data\substituted_structures\MAT_114_Ru0.40Nb0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_115,Nb,0.2,0.8,Ru0.20Nb0.80Ox,data\substituted_structures\MAT_115_Ru0.20Nb0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_117,Mo,0.8,0.1999999999999999,Ru0.80Mo0.20Ox,data\substituted_structures\MAT_117_Ru0.80Mo0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_118,Mo,0.6,0.4,Ru0.60Mo0.40Ox,data\substituted_structures\MAT_118_Ru0.60Mo0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_119,Mo,0.4,0.6,Ru0.40Mo0.60Ox,data\substituted_structures\MAT_119_Ru0.40Mo0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_120,Mo,0.2,0.8,Ru0.20Mo0.80Ox,data\substituted_structures\MAT_120_Ru0.20Mo0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_122,Rh,0.8,0.1999999999999999,Ru0.80Rh0.20Ox,data\substituted_structures\MAT_122_Ru0.80Rh0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_123,Rh,0.6,0.4,Ru0.60Rh0.40Ox,data\substituted_structures\MAT_123_Ru0.60Rh0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_124,Rh,0.4,0.6,Ru0.40Rh0.60Ox,data\substituted_structures\MAT_124_Ru0.40Rh0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_125,Rh,0.2,0.8,Ru0.20Rh0.80Ox,data\substituted_structures\MAT_125_Ru0.20Rh0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_127,Pd,0.8,0.1999999999999999,Ru0.80Pd0.20Ox,data\substituted_structures\MAT_127_Ru0.80Pd0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_128,Pd,0.6,0.4,Ru0.60Pd0.40Ox,data\substituted_structures\MAT_128_Ru0.60Pd0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_129,Pd,0.4,0.6,Ru0.40Pd0.60Ox,data\substituted_structures\MAT_129_Ru0.40Pd0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_130,Pd,0.2,0.8,Ru0.20Pd0.80Ox,data\substituted_structures\MAT_130_Ru0.20Pd0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_132,Ag,0.8,0.1999999999999999,Ru0.80Ag0.20Ox,data\substituted_structures\MAT_132_Ru0.80Ag0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_133,Ag,0.6,0.4,Ru0.60Ag0.40Ox,data\substituted_structures\MAT_133_Ru0.60Ag0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_134,Ag,0.4,0.6,Ru0.40Ag0.60Ox,data\substituted_structures\MAT_134_Ru0.40Ag0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_135,Ag,0.2,0.8,Ru0.20Ag0.80Ox,data\substituted_structures\MAT_135_Ru0.20Ag0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_137,Cd,0.8,0.1999999999999999,Ru0.80Cd0.20Ox,data\substituted_structures\MAT_137_Ru0.80Cd0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_138,Cd,0.6,0.4,Ru0.60Cd0.40Ox,data\substituted_structures\MAT_138_Ru0.60Cd0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_139,Cd,0.4,0.6,Ru0.40Cd0.60Ox,data\substituted_structures\MAT_139_Ru0.40Cd0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_140,Cd,0.2,0.8,Ru0.20Cd0.80Ox,data\substituted_structures\MAT_140_Ru0.20Cd0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_142,In,0.8,0.1999999999999999,Ru0.80In0.20Ox,data\substituted_structures\MAT_142_Ru0.80In0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_143,In,0.6,0.4,Ru0.60In0.40Ox,data\substituted_structures\MAT_143_Ru0.60In0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_144,In,0.4,0.6,Ru0.40In0.60Ox,data\substituted_structures\MAT_144_Ru0.40In0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_145,In,0.2,0.8,Ru0.20In0.80Ox,data\substituted_structures\MAT_145_Ru0.20In0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_147,Sn,0.8,0.1999999999999999,Ru0.80Sn0.20Ox,data\substituted_structures\MAT_147_Ru0.80Sn0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_148,Sn,0.6,0.4,Ru0.60Sn0.40Ox,data\substituted_structures\MAT_148_Ru0.60Sn0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_149,Sn,0.4,0.6,Ru0.40Sn0.60Ox,data\substituted_structures\MAT_149_Ru0.40Sn0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_150,Sn,0.2,0.8,Ru0.20Sn0.80Ox,data\substituted_structures\MAT_150_Ru0.20Sn0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_152,Ba,0.8,0.1999999999999999,Ru0.80Ba0.20Ox,data\substituted_structures\MAT_152_Ru0.80Ba0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_153,Ba,0.6,0.4,Ru0.60Ba0.40Ox,data\substituted_structures\MAT_153_Ru0.60Ba0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_154,Ba,0.4,0.6,Ru0.40Ba0.60Ox,data\substituted_structures\MAT_154_Ru0.40Ba0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_155,Ba,0.2,0.8,Ru0.20Ba0.80Ox,data\substituted_structures\MAT_155_Ru0.20Ba0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_157,La,0.8,0.1999999999999999,Ru0.80La0.20Ox,data\substituted_structures\MAT_157_Ru0.80La0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_158,La,0.6,0.4,Ru0.60La0.40Ox,data\substituted_structures\MAT_158_Ru0.60La0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_159,La,0.4,0.6,Ru0.40La0.60Ox,data\substituted_structures\MAT_159_Ru0.40La0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
