material_id,M_element,Ru_fraction,M_fraction,nominal_formula,structure_file,parent_lattice,notes
MAT_001,Li,1.0,0.0,RuO2,data\substituted_structures\MAT_001_RuO2.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_002,Li,0.8,0.1999999999999999,Ru0.80Li0.20Ox,data\substituted_structures\MAT_002_Ru0.80Li0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_003,Li,0.6,0.4,Ru0.60Li0.40Ox,data\substituted_structures\MAT_003_Ru0.60Li0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_004,Li,0.4,0.6,Ru0.40Li0.60Ox,data\substituted_structures\MAT_004_Ru0.40Li0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_005,Li,0.2,0.8,Ru0.20Li0.80Ox,data\substituted_structures\MAT_005_Ru0.20Li0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_007,Na,0.8,0.1999999999999999,Ru0.80Na0.20Ox,data\substituted_structures\MAT_007_Ru0.80Na0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_008,Na,0.6,0.4,Ru0.60Na0.40Ox,data\substituted_structures\MAT_008_Ru0.60Na0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_009,Na,0.4,0.6,Ru0.40Na0.60Ox,data\substituted_structures\MAT_009_Ru0.40Na0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_010,Na,0.2,0.8,Ru0.20Na0.80Ox,data\substituted_structures\MAT_010_Ru0.20Na0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_012,Mg,0.8,0.1999999999999999,Ru0.80Mg0.20Ox,data\substituted_structures\MAT_012_Ru0.80Mg0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_013,Mg,0.6,0.4,Ru0.60Mg0.40Ox,data\substituted_structures\MAT_013_Ru0.60Mg0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_014,Mg,0.4,0.6,Ru0.40Mg0.60Ox,data\substituted_structures\MAT_014_Ru0.40Mg0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_015,Mg,0.2,0.8,Ru0.20Mg0.80Ox,data\substituted_structures\MAT_015_Ru0.20Mg0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_017,Al,0.8,0.1999999999999999,Ru0.80Al0.20Ox,data\substituted_structures\MAT_017_Ru0.80Al0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_018,Al,0.6,0.4,Ru0.60Al0.40Ox,data\substituted_structures\MAT_018_Ru0.60Al0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_019,Al,0.4,0.6,Ru0.40Al0.60Ox,data\substituted_structures\MAT_019_Ru0.40Al0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_020,Al,0.2,0.8,Ru0.20Al0.80Ox,data\substituted_structures\MAT_020_Ru0.20Al0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_022,Si,0.8,0.1999999999999999,Ru0.80Si0.20Ox,data\substituted_structures\MAT_022_Ru0.80Si0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_023,Si,0.6,0.4,Ru0.60Si0.40Ox,data\substituted_structures\MAT_023_Ru0.60Si0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_024,Si,0.4,0.6,Ru0.40Si0.60Ox,data\substituted_structures\MAT_024_Ru0.40Si0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_025,Si,0.2,0.8,Ru0.20Si0.80Ox,data\substituted_structures\MAT_025_Ru0.20Si0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_027,K,0.8,0.1999999999999999,Ru0.80K0.20Ox,data\substituted_structures\MAT_027_Ru0.80K0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_028,K,0.6,0.4,Ru0.60K0.40Ox,data\substituted_structures\MAT_028_Ru0.60K0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_029,K,0.4,0.6,Ru0.40K0.60Ox,data\substituted_structures\MAT_029_Ru0.40K0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_030,K,0.2,0.8,Ru0.20K0.80Ox,data\substituted_structures\MAT_030_Ru0.20K0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_032,Ca,0.8,0.1999999999999999,Ru0.80Ca0.20Ox,data\substituted_structures\MAT_032_Ru0.80Ca0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_033,Ca,0.6,0.4,Ru0.60Ca0.40Ox,data\substituted_structures\MAT_033_Ru0.60Ca0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_034,Ca,0.4,0.6,Ru0.40Ca0.60Ox,data\substituted_structures\MAT_034_Ru0.40Ca0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_035,Ca,0.2,0.8,Ru0.20Ca0.80Ox,data\substituted_structures\MAT_035_Ru0.20Ca0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_037,Sc,0.8,0.1999999999999999,Ru0.80Sc0.20Ox,data\substituted_structures\MAT_037_Ru0.80Sc0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_038,Sc,0.6,0.4,Ru0.60Sc0.40Ox,data\substituted_structures\MAT_038_Ru0.60Sc0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_039,Sc,0.4,0.6,Ru0.40Sc0.60Ox,data\substituted_structures\MAT_039_Ru0.40Sc0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_040,Sc,0.2,0.8,Ru0.20Sc0.80Ox,data\substituted_structures\MAT_040_Ru0.20Sc0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_042,Ti,0.8,0.1999999999999999,Ru0.80Ti0.20Ox,data\substituted_structures\MAT_042_Ru0.80Ti0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_043,Ti,0.6,0.4,Ru0.60Ti0.40Ox,data\substituted_structures\MAT_043_Ru0.60Ti0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_044,Ti,0.4,0.6,Ru0.40Ti0.60Ox,data\substituted_structures\MAT_044_Ru0.40Ti0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_045,Ti,0.2,0.8,Ru0.20Ti0.80Ox,data\substituted_structures\MAT_045_Ru0.20Ti0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_047,V,0.8,0.1999999999999999,Ru0.80V0.20Ox,data\substituted_structures\MAT_047_Ru0.80V0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_048,V,0.6,0.4,Ru0.60V0.40Ox,data\substituted_structures\MAT_048_Ru0.60V0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_049,V,0.4,0.6,Ru0.40V0.60Ox,data\substituted_structures\MAT_049_Ru0.40V0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_050,V,0.2,0.8,Ru0.20V0.80Ox,data\substituted_structures\MAT_050_Ru0.20V0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_052,Cr,0.8,0.1999999999999999,Ru0.80Cr0.20Ox,data\substituted_structures\MAT_052_Ru0.80Cr0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_053,Cr,0.6,0.4,Ru0.60Cr0.40Ox,data\substituted_structures\MAT_053_Ru0.60Cr0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_054,Cr,0.4,0.6,Ru0.40Cr0.60Ox,data\substituted_structures\MAT_054_Ru0.40Cr0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_055,Cr,0.2,0.8,Ru0.20Cr0.80Ox,data\substituted_structures\MAT_055_Ru0.20Cr0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_057,Mn,0.8,0.1999999999999999,Ru0.80Mn0.20Ox,data\substituted_structures\MAT_057_Ru0.80Mn0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,data\substituted_structures\MAT_058_Ru0.60Mn0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_059,Mn,0.4,0.6,Ru0.40Mn0.60Ox,data\substituted_structures\MAT_059_Ru0.40Mn0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_060,Mn,0.2,0.8,Ru0.20Mn0.80Ox,data\substituted_structures\MAT_060_Ru0.20Mn0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_062,Fe,0.8,0.1999999999999999,Ru0.80Fe0.20Ox,data\substituted_structures\MAT_062_Ru0.80Fe0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_063,Fe,0.6,0.4,Ru0.60Fe0.40Ox,data\substituted_structures\MAT_063_Ru0.60Fe0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_064,Fe,0.4,0.6,Ru0.40Fe0.60Ox,data\substituted_structures\MAT_064_Ru0.40Fe0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_065,Fe,0.2,0.8,Ru0.20Fe0.80Ox,data\substituted_structures\MAT_065_Ru0.20Fe0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_067,Co,0.8,0.1999999999999999,Ru0.80Co0.20Ox,data\substituted_structures\MAT_067_Ru0.80Co0.20Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_068,Co,0.6,0.4,Ru0.60Co0.40Ox,data\substituted_structures\MAT_068_Ru0.60Co0.40Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_069,Co,0.4,0.6,Ru0.40Co0.60Ox,data\substituted_structures\MAT_069_Ru0.40Co0.60Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
MAT_070,Co,0.2,0.8,Ru0.20Co0.80Ox,data\substituted_structures\MAT_070_Ru0.20Co0.80Ox.cif,rutile_RuO2_2x2x1,single simple substitution pattern
