material_id,M_element,Ru_fraction,M_fraction,nominal_formula,miller_index,slab_file,parent_structure_file,notes
MAT_058,Mn,0.6,0.4,Ru0.60Mn0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_058_110_slab.cif,data\substituted_structures\MAT_058_Ru0.60Mn0.40Ox.cif,generated substituted slab
MAT_059,Mn,0.4,0.6,Ru0.40Mn0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_059_110_slab.cif,data\substituted_structures\MAT_059_Ru0.40Mn0.60Ox.cif,generated substituted slab
MAT_060,Mn,0.2,0.8,Ru0.20Mn0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_060_110_slab.cif,data\substituted_structures\MAT_060_Ru0.20Mn0.80Ox.cif,generated substituted slab
MAT_062,Fe,0.8,0.1999999999999999,Ru0.80Fe0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_062_110_slab.cif,data\substituted_structures\MAT_062_Ru0.80Fe0.20Ox.cif,generated substituted slab
MAT_063,Fe,0.6,0.4,Ru0.60Fe0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_063_110_slab.cif,data\substituted_structures\MAT_063_Ru0.60Fe0.40Ox.cif,generated substituted slab
MAT_064,Fe,0.4,0.6,Ru0.40Fe0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_064_110_slab.cif,data\substituted_structures\MAT_064_Ru0.40Fe0.60Ox.cif,generated substituted slab
MAT_065,Fe,0.2,0.8,Ru0.20Fe0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_065_110_slab.cif,data\substituted_structures\MAT_065_Ru0.20Fe0.80Ox.cif,generated substituted slab
MAT_067,Co,0.8,0.1999999999999999,Ru0.80Co0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_067_110_slab.cif,data\substituted_structures\MAT_067_Ru0.80Co0.20Ox.cif,generated substituted slab
MAT_068,Co,0.6,0.4,Ru0.60Co0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_068_110_slab.cif,data\substituted_structures\MAT_068_Ru0.60Co0.40Ox.cif,generated substituted slab
MAT_069,Co,0.4,0.6,Ru0.40Co0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_069_110_slab.cif,data\substituted_structures\MAT_069_Ru0.40Co0.60Ox.cif,generated substituted slab
MAT_070,Co,0.2,0.8,Ru0.20Co0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_070_110_slab.cif,data\substituted_structures\MAT_070_Ru0.20Co0.80Ox.cif,generated substituted slab
MAT_072,Ni,0.8,0.1999999999999999,Ru0.80Ni0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_072_110_slab.cif,data\substituted_structures\MAT_072_Ru0.80Ni0.20Ox.cif,generated substituted slab
MAT_073,Ni,0.6,0.4,Ru0.60Ni0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_073_110_slab.cif,data\substituted_structures\MAT_073_Ru0.60Ni0.40Ox.cif,generated substituted slab
MAT_074,Ni,0.4,0.6,Ru0.40Ni0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_074_110_slab.cif,data\substituted_structures\MAT_074_Ru0.40Ni0.60Ox.cif,generated substituted slab
MAT_075,Ni,0.2,0.8,Ru0.20Ni0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_075_110_slab.cif,data\substituted_structures\MAT_075_Ru0.20Ni0.80Ox.cif,generated substituted slab
MAT_077,Cu,0.8,0.1999999999999999,Ru0.80Cu0.20Ox,"(1,1,0)",data\substituted_slabs\MAT_077_110_slab.cif,data\substituted_structures\MAT_077_Ru0.80Cu0.20Ox.cif,generated substituted slab
MAT_078,Cu,0.6,0.4,Ru0.60Cu0.40Ox,"(1,1,0)",data\substituted_slabs\MAT_078_110_slab.cif,data\substituted_structures\MAT_078_Ru0.60Cu0.40Ox.cif,generated substituted slab
MAT_079,Cu,0.4,0.6,Ru0.40Cu0.60Ox,"(1,1,0)",data\substituted_slabs\MAT_079_110_slab.cif,data\substituted_structures\MAT_079_Ru0.40Cu0.60Ox.cif,generated substituted slab
MAT_080,Cu,0.2,0.8,Ru0.20Cu0.80Ox,"(1,1,0)",data\substituted_slabs\MAT_080_110_slab.cif,data\substituted_structures\MAT_080_Ru0.20Cu0.80Ox.cif,generated substituted slab
